Zip,InstallationsPerZip,Households,Pop,AverageIncome,Centile_HHI,Sola_Penetration,Centile_Solar_Penetration,SolarInstalled,Average HH Size,Centile_HHSize,Electric Utility,OwnerOccupancyPercentage,OwnerDetachedpercentage
12766,2,159,477,55814.0797,6,0.012578616,8,1,2.8,5,NYS Electric and Gas,0.8953,0.837662338
12776,4,722,2166,60893.8917,6,0.005540166,9,1,2.42,8,NYS Electric and Gas,0.8211,0.84502924
12780,9,751,2255,57257.4127,6,0.011984021,8,1,2.3,9,Orange and Rockland Utilities,0.8373,0.813299233
12781,1,103,309,73118,4,0.009708738,8,1,2.91,4,Orange and Rockland Utilities,0.7227,0.5
12787,1,115,345,59860.6128,6,0.008695652,9,1,2.55,7,NYS Electric and Gas,0.875,0.81547619
12788,5,1017,3053,47808.0217,7,0.004916421,9,1,2.7,6,NYS Electric and Gas,0.6428,0.834661355
12790,8,1429,4289,72002.1937,4,0.005598321,9,1,2.44,8,Orange and Rockland Utilities,0.7484,0.804332635
12808,0,111,335,67263.418,5,0,10,0,1.97,10,Other,1,0.89047619
12809,35,1124,3373,65714.6553,5,0.03113879,3,1,2.5,8,National Grid,0.8912,0.920875421
12814,8,506,1519,66466,5,0.015810277,7,1,2.15,10,National Grid,0.6831,0.90212766
12815,11,301,905,67411,5,0.03654485,2,1,2.38,9,National Grid,0.8371,0.921621622
12832,21,2345,7035,54950.2787,6,0.008955224,8,1,2.48,8,National Grid,0.6879,0.873608018
12844,1,78,236,61011.1924,6,0.012820513,7,1,2.65,6,National Grid,1,1
12858,0,15,47,51013,7,0,10,0,2,10,Other,1,1
12864,0,15,47,54637,6,0,10,0,2,10,Other,1,1
12866,153,11556,34669,79881.2305,4,0.013239875,7,1,2.2,10,NYS Electric and Gas,0.607,0.82168926
12883,5,1712,5138,50078.4934,7,0.002920561,10,1,2.2,10,National Grid,0.7117,0.921518987
12887,8,1966,5899,52257.0124,7,0.004069176,10,1,2.41,8,National Grid,0.649,0.858220211
12901,35,9056,27169,51224.9813,7,0.003864841,10,1,2.19,10,NYS Electric and Gas,0.5396,0.757592722
12911,0,11,35,49779,7,0,10,0,3.5,1,Other,1,1
12916,4,676,2028,50279.9673,7,0.00591716,9,1,2.69,6,National Grid,0.7554,0.78525641
12928,4,705,2115,62553.7555,6,0.005673759,9,1,2.38,9,National Grid,0.7692,0.881355932
12943,3,150,450,59227,6,0.02,5,1,2.09,10,NYS Electric and Gas,0.6667,0.96969697
12953,13,5415,16245,54784.5839,6,0.002400739,10,1,2.39,9,National Grid,0.6915,0.892483056
12967,1,345,1035,49435.3606,7,0.002898551,10,1,3,3,National Grid,0.9095,0.718446602
12969,0,150,451,58442,6,0,10,0,2.2,10,Other,0.8983,0.86163522
