,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
10588,999,0.7858,785,638,0.812738854,107,40,0,214,26,22,166,0
10589,4006,0.8989,3601,1660,0.46098306,1808,133,0,405,13,243,149,0
10590,2458,0.9129,2244,2040,0.909090909,98,92,14,214,145,24,45,0
10591,8781,0.5381,4725,2402,0.508359788,704,1619,0,4056,375,166,3504,11
10594,1572,0.7793,1225,1184,0.966530612,28,13,0,347,44,8,295,0
10595,2265,0.7285,1650,1591,0.964242424,15,44,0,615,117,46,452,0
10596,632,0.4937,312,248,0.794871795,20,25,19,320,96,7,195,22
10597,334,1.0000,334,334,1,0,0,0,0,0,0,0,0
10598,10344,0.8940,9248,7943,0.858888408,460,834,11,1096,232,48,816,0
10601,5427,0.3234,1755,20,0.011396011,39,1696,0,3672,23,25,3589,35
10603,6618,0.6614,4377,2159,0.493260224,413,1805,0,2241,206,152,1845,38
10604,3822,0.5597,2139,1537,0.718560075,52,550,0,1683,355,74,1254,0
10605,6815,0.7551,5146,3357,0.652351341,384,1398,7,1669,224,28,1417,0
10606,5603,0.3982,2231,1513,0.678171224,51,667,0,3372,274,36,3055,7
10607,2157,0.8702,1877,1692,0.901438466,124,61,0,280,93,32,155,0
10701,21548,0.2981,6423,2723,0.423945197,402,3298,0,15125,518,200,14374,33
10703,7088,0.5296,3754,1593,0.424347363,343,1807,11,3334,116,95,3123,0
10704,12439,0.5996,7458,3431,0.460042907,329,3698,0,4981,385,163,4433,0
10705,13508,0.3311,4472,2578,0.57647585,173,1710,11,9036,253,160,8623,0
10706,3324,0.7335,2438,1783,0.731337162,196,459,0,886,122,12,752,0
10707,4031,0.6142,2476,1771,0.715266559,79,626,0,1555,87,28,1440,0
10708,9251,0.7466,6907,2692,0.389749529,207,4000,8,2344,165,103,2076,0
10709,3636,0.8053,2928,1974,0.674180328,43,911,0,708,38,54,616,0
10710,10320,0.7114,7342,4852,0.660855353,397,2083,10,2978,245,59,2674,0
10801,13916,0.3935,5476,3287,0.600255661,387,1792,10,8440,561,239,7640,0
10803,3945,0.8046,3174,2610,0.822306238,151,401,12,771,156,26,589,0
10804,5185,0.9095,4716,4273,0.906064461,68,375,0,469,220,0,249,0
10805,7942,0.3435,2728,1058,0.387829912,185,1485,0,5214,312,110,4792,0
10901,8706,0.7091,6173,4146,0.671634538,708,1319,0,2533,350,144,2039,0
10910,24,0.0000,0,0,0,0,0,0,24,24,0,0,0
10913,1662,0.9819,1632,1562,0.957107843,16,54,0,30,21,0,0,9
10914,104,1.0000,104,104,1,0,0,0,0,0,0,0,0
10915,70,1.0000,70,38,0.542857143,0,0,32,0,0,0,0,0
10916,1283,0.9213,1182,1182,1,0,0,0,101,71,9,21,0
10917,653,0.7335,479,422,0.881002088,7,50,0,174,18,0,156,0
10918,3993,0.8054,3216,2416,0.751243781,392,398,10,777,202,50,525,0
10919,536,0.8619,462,442,0.956709957,0,20,0,74,54,0,0,20
10920,2962,0.8255,2445,2033,0.831492843,328,69,15,517,145,44,328,0
10921,1474,0.7524,1109,930,0.838593327,143,36,0,365,124,18,223,0
10922,540,0.7778,420,340,0.80952381,21,0,59,120,46,27,47,0
10923,2659,0.6638,1765,1519,0.860623229,165,81,0,894,106,60,728,0
10924,4506,0.6882,3101,2971,0.958078039,61,69,0,1405,257,99,1040,9
10925,1744,0.7460,1301,1269,0.975403536,20,12,0,443,265,0,178,0
10926,1224,0.6185,757,358,0.472919419,76,261,62,467,33,0,417,17
10927,3647,0.4431,1616,583,0.360767327,541,455,37,2031,273,153,1605,0
10928,1794,0.4192,752,636,0.845744681,29,21,66,1042,172,9,834,27
10930,2752,0.9204,2533,2015,0.795499408,350,135,33,219,64,81,74,0
10931,312,0.7019,219,176,0.803652968,7,36,0,93,30,2,61,0
10932,6,1.0000,6,6,1,0,0,0,0,0,0,0,0
10933,225,1.0000,225,225,1,0,0,0,0,0,0,0,0
10940,17219,0.5908,10173,8144,0.800550477,951,930,148,7046,1033,341,5613,59
10941,4676,0.7303,3415,2653,0.776866764,442,183,137,1261,58,48,1155,0
10950,12825,0.7138,9154,6690,0.730828053,697,1711,56,3671,553,136,2966,16
10952,9242,0.5128,4739,4019,0.848069213,156,564,0,4503,792,307,3404,0
10953,62,1.0000,62,62,1,0,0,0,0,0,0,0,0
10954,8611,0.7097,6111,4070,0.666012109,1083,862,96,2500,271,253,1924,52
10956,10055,0.9037,9087,8396,0.923957302,479,175,37,968,300,23,645,0
10958,913,0.8631,788,775,0.983502538,13,0,0,125,82,10,33,0
10960,6378,0.4892,3120,2439,0.781730769,87,594,0,3258,345,109,2800,4
10962,1703,0.8256,1406,1301,0.925320057,0,105,0,297,124,0,157,16
10963,849,0.8622,732,711,0.971311475,7,2,12,117,68,0,49,0
10964,598,0.6923,414,404,0.975845411,0,10,0,184,11,0,173,0
10965,5380,0.8102,4359,3846,0.882312457,63,396,54,1021,228,30,763,0
10968,1165,0.6730,784,376,0.479591837,151,257,0,381,58,6,317,0
10969,538,0.6766,364,364,1,0,0,0,174,157,0,8,9
10970,3476,0.7494,2605,1259,0.483301344,460,587,299,871,117,87,552,115
